"","CB","FF","G","O","P","S"
"Burke",0.000165278184701493,0.000273036315789474,7.25449e-05,2.16357678571429e-05,0.000294313810344828,0.000165563
"Burnet Tributary",0.000460551617391304,0.000153445761904762,NA,3.6175e-05,0.00118011992307692,NA
"Burnett",0.000198155525205158,5.50718571428571e-05,2.05225e-05,7.6302e-05,0.000378309532258065,0.000378127166666667
"Cannel",0.000133143571428571,NA,NA,0.00219986866666667,NA,NA
"Charming",0.000128806505084746,0.002016902,4.904e-05,2.016e-06,0.0008996065,3.3994e-05
"Chasm",0.000366703675531915,0.00195821436231884,0.001046972,1.75091304347826e-05,0.00032769905,3.81921739130435e-05
"Coal",0.000220012888888889,0.000148128,NA,2.1745e-05,0.0008724786,NA
"Coalbrookedale",8.302304e-05,NA,0.000101197625,9.54e-06,0.0001214275,NA
"Coorang",0.00046208879,0.000912122,2.53e-06,0.0012775615,0.00316394342307692,0.00122477130769231
"Granity",0.000280411155555556,NA,2.9207347826087e-05,4.53e-06,NA,NA
"Hot",0.000229028444444444,NA,NA,NA,5.42e-05,NA
"Italian",0.000314353972168906,0.000817077819277108,0.00150244466666667,0.000275432012345679,0.000382594545454545,0.00157947865
"Kiwi",8.9281059239611e-05,0.00011260468503937,3.89491333333333e-05,6.73902857142857e-05,0.0002405471875,0.0003416472
"Lankey",0.000357650619825708,0.000176571663967611,0.00396648822222222,0.000159680172043011,0.000629174457364341,0.000373421571428571
"Miller",0.000380635317073171,NA,NA,NA,NA,NA
"Mine",0.000330127306413302,NA,NA,NA,0.000244867,NA
"Murray",0.000228992239819005,6.40862258064516e-05,0.000344186,0.000282797666666667,0.00169954605555556,0.0001382564
"One Horse Creek",0.000350600501069138,0.00162480987064677,0.000160359632653061,NA,0.00106110200970874,0.000649564705882353
"Packtrack",0.000216593955390335,0.0001084745,NA,NA,0.0002475115,NA
"Portal",0.000195660797342193,NA,NA,NA,NA,NA
"Stream X",0.000111699966666667,NA,NA,5.84333333333333e-06,0.0002616365,NA
"Stream Y",0.000271116676470588,NA,NA,NA,0.000120878816326531,3.785e-06
"Sullivan East",0.000256342239700375,3.13e-06,2.42e-05,2.41333333333333e-06,0.00088492875,NA
"Sullivan West",0.000348579483870968,9.53e-05,3.51e-05,2.4e-05,NA,NA
"Warne",0.000352921737864078,0.000184028666666667,4.82480833333333e-05,9.03833333333333e-06,0.0001466013,NA
