"","anc","bra","bri","ced","che","lee","lit","non","pen","phi","ray","san","sun","ter","tra","wat"
"Agapostemon_sericeus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Agapostemon_virescens",0,0,2,1,1,0,0,0,0,0,0,3,1,0,1,0
"Augochlora_pura",0,5,0,4,4,2,0,1,0,0,2,9,0,12,1,3
"Augochlorella_aurata",3,0,2,5,1,0,5,0,1,0,6,2,0,0,0,0
"Bombus_bimaculatus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Bombus_fervidus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bombus_griseocollis",1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
"Bombus_impatiens",1,5,9,13,59,30,0,27,6,19,23,13,15,49,105,64
"Ceratina_calcarata",1,3,3,8,2,0,0,0,0,0,2,1,0,2,2,0
"Ceratina_dupla",1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Ceratina_strenua",3,4,3,2,0,0,0,0,0,0,6,1,0,0,0,0
"Eucera_pruinosa",0,1,0,10,0,0,0,1,4,0,0,8,0,3,7,0
"Halictus_confusus",2,0,0,2,1,2,2,0,0,0,3,0,0,10,1,0
"Halictus_ligatus",0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0
"Halictus_rubicundus",0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0
"Hylaeus_affinis_modestus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Lasioglossum_admirandum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_atwoodi",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lasioglossum_cressonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Lasioglossum_ephialtum",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Lasioglossum_georgeickworti",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_gotham",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lasioglossum_hitchensi",4,0,0,1,0,0,4,0,1,0,5,1,2,2,0,0
"Lasioglossum_illinoense",1,1,0,0,0,0,1,0,0,0,7,2,0,1,0,0
"Lasioglossum_imitatum",0,0,13,0,2,0,8,0,1,11,2,20,0,2,0,0
"Lasioglossum_leucocomum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"Lasioglossum_obscurum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_oceanicum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_paradmirandum",3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lasioglossum_pectorale",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"Lasioglossum_pilosum",1,0,27,0,0,0,0,0,2,0,0,1,1,0,6,0
"Lasioglossum_subviridatum",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lasioglossum_tegulare",0,0,8,0,1,1,1,0,0,0,1,1,1,0,0,1
"Lasioglossum_trigeminum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lasioglossum_versatum",10,4,0,2,6,0,4,0,0,0,1,2,0,10,0,9
"Lasioglossum_weemsi",2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"Lasioglossum_zephyrum",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Melissodes_bimaculatus",0,8,0,4,17,21,6,1,0,0,0,2,0,0,1,0
"Triepeolus_remigatus",0,0,0,0,8,0,0,0,0,0,0,3,0,5,2,2
"Xylocopa_virginica",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
